"law_id","title","path_pdf","reason"
"83","Zakon o obrazovanju odraslih","Zakon o dopunama Zakona o republi?koj upravi-111_21.pdf","Naziv ne odgovara PDF nazivu"
"84","Zakon o utvr?ivanju porijekla imovine i posebnom porezu na imovinu","Zakon o dopunama Zakona o republi?koj upravi-15_22.pdf","Naziv ne odgovara PDF nazivu"
"86","Zakon o dopunama Zakona o zapo?ljavanju stranih dr?avljana i lica bez dr?avljanstva","Zakon o audio-vizuelnim djelatnostima-56_22.pdf","Naziv ne odgovara PDF nazivu"
"87","Zakon o dopunama Zakona o za?titi i spasavanju u vanrednim situacijama","Zakon o dopunama Zakona o republi?koj upravi-111_21.pdf","Naziv ne odgovara PDF nazivu"
"89","Zakon o izmjenama i dopunama Zakona o sjemenu pol?oprivrednog bil?a","Zakon o dopunama Zakona o zdravstvenom osiguranju-110_16.pdf","Naziv ne odgovara PDF nazivu"
"90","Zakon o dopunama Zakona o zdravstvenom osiguranju","Zakon o Gradu Lakta?i-37_22.pdf","Naziv ne odgovara PDF nazivu"
"91","Zakon o dopuni Krivi?nog zakonika Republike Srpske","Zakon o Posebnom registru i javnosti rada neprofitnih organizacija-19_25.pdf","Naziv ne odgovara PDF nazivu"
"93","Zakon o dopuni Zakona o visini stop? zat?zn? kamat?","Zakon o dopunama Zakona o republi?koj upravi-111_21.pdf","Naziv ne odgovara PDF nazivu"
"94","Zakon o platama zaposlenih u osnovnim i srednjim ?kolama i ?a?kim domovima u Republici Srpskoj","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"95","Zakon o zastupanju u osiguranju i posredovanju u osiguranju i reosiguranju","Zakon o dopuni Zakona o dru?tvima za osiguranje-47_17.pdf","Naziv ne odgovara PDF nazivu"
"96","Zakon o dopuni Zakona o penzijskom i invalidskom osiguranju","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"98","Zakon o dopuni Zakona o podsticajima u privredi Republike Srpske","Zakon o audio-vizuelnim djelatnostima-56_22.pdf","Naziv ne odgovara PDF nazivu"
"99","Zakon o likvidacionom postupku","Zakon o dopuni Zakona o policiji i unutra?njim poslovima-82_19.pdf","Naziv ne odgovara PDF nazivu"
"100","Zakon o izmjenama i dopunama Zakona o porezu na dohodak","Zakon o dopuni Zakona o posebnim republi?kim taksama-123_20.pdf","Naziv ne odgovara PDF nazivu"
"102","Zakon o zvanjima koja se sti?u zavr?etkom visokog obrazovanja","Zakon o dopuni Zakona o prevozu u drumskom saobra?aju Republike Srpske-33_14.pdf","Naziv ne odgovara PDF nazivu"
"103","Zakon o dopuni Zakona o spre?avanju sukoba interesa u organima vlasti Republike Srpske","Zakon o Agenciji za informaciono-komunikacione tehnologije-90_23.pdf","Naziv ne odgovara PDF nazivu"
"104","Zakon o osnivanju op?tine Stanari","Zakon o dopuni Zakona o teritorijalnoj organizaciji Republike Srpske-83_14.pdf","Naziv ne odgovara PDF nazivu"
"108","Zakon o utvr?ivanju i prenosu prava raspolaganja imovinom na jedinice lokalne samouprave","Zakon o dopuni krivi?nog Zakona Republike Srpske-70_06.pdf","Naziv ne odgovara PDF nazivu"
"109","Zakon o dru?tvenom preduzetni?tvu Republike Srpske","Zakon o dopunama Zakona o republi?koj upravi-111_21.pdf","Naziv ne odgovara PDF nazivu"
"110","Zakon o posr?dovanju u osiguranju","Zakon o dru?tvima za osiguranj?-17_05.pdf","Naziv ne odgovara PDF nazivu"
"112","Zakon o dr?avnim slu?benicima","Zakon o Vladi Republike Srpske-118_08.pdf","Naziv ne odgovara PDF nazivu"
"113","Zakon o dr?avnim stanovima na kojima n? postoji stanarsko pravo","Zakon o Sudskoj policiji R?publik? Srpsk?-98_11.pdf","Naziv ne odgovara PDF nazivu"
"114","Zakon o u?eni?kom standard","Zakon o duvanu-72_12.pdf","Naziv ne odgovara PDF nazivu"
"115","Zakon o izmjenama Zakona o eksproprijaciji","Zakon o ekonomsko-socijalnom savjetu-110_08.pdf","Naziv ne odgovara PDF nazivu"
"116","Zakon o gra?evinskom zemlji?tu Republike Srpske","Zakon o eksproprijaciji-112_06.pdf","Naziv ne odgovara PDF nazivu"
"117","Zakon o lije?enju neplodnosti postupcima biomedicinski potpomognute oplodnje","Zakon o elektri?noj energiji-68_20.pdf","Naziv ne odgovara PDF nazivu"
"118","Zakon o spre?avanju nasilja na sportskim priredbama","Zakon o elektronskom dokumentu Republike Srpske-106_15.pdf","Naziv ne odgovara PDF nazivu"
"119","Zakon o elektronskom dokumentu Republike Srpske","Zakon o ekonomsko-socijalnom savjetu-110_08.pdf","Naziv ne odgovara PDF nazivu"
"120","Zakon o proizvodnji naoru?anja i vojne opreme u Republici Srpskoj","Zakon o elektronskom novcu-1_24.pdf","Naziv ne odgovara PDF nazivu"
"123","Zakon o izmjenama Zakona o pravosudnom ispitu u Republici Srpskoj","Zakon o elektronskom potpisu Republike Srpske-59_08.pdf","Naziv ne odgovara PDF nazivu"
"124","Zakon o energetici","Zakon o Komitetu za koordinaciju nadzora finansijskog sektora Republike Srpske-49_09.pdf","Naziv ne odgovara PDF nazivu"
"125","Zakon o energetskoj efikasnosti","Zakon o Agenciji za bankarstvo Republike Srpske-59_13.pdf","Naziv ne odgovara PDF nazivu"
"126","Zakon o prestanku va?enja zakona o finansijskom restrukturiranju duga preduze?a sa ve?inskim u?e??em dr?avnog kapitala koji je predmet privatizacije","Zakon o evidencijama i statisti?kim istra?ivanjima u oblasti zdravstvene za?tite-53_07.pdf","Naziv ne odgovara PDF nazivu"
"127","Zakon o faktoringu","Zakon o dopuni Zakona o posebnim republi?kim taksama-123_20.pdf","Naziv ne odgovara PDF nazivu"
"128","Zakon o suzbijanju organizovanog i najt??ih oblika privr?dnog kriminala","Zakon o finansijskom r?strukturiranju duga pr?duz??a sa v??inskim u?????m dr?avnog kapitala-37_06.pdf","Naziv ne odgovara PDF nazivu"
"129","Zakon o finansiranju politi?kih partija","Zakon o Gradu Tesli?-45_25.pdf","Naziv ne odgovara PDF nazivu"
"130","Zakon o finansiranju politi?kih stranaka iz bud?eta Republike, grada i op?tine","Zakon o Privrednoj komori Republike Srpske-65_08.pdf","Naziv ne odgovara PDF nazivu"
"133","Zakon o pomilovanju","Zakon o finansiranju ??lj?zni?k? infrastruktur? i sufinansiranju ??lj?zni?kog saobra?aja od int?r?sa za R?publiku Srpsku-34_06.pdf","Naziv ne odgovara PDF nazivu"
"134","Zakon o fiskalizaciji","Zakon o dopunama Zakona o republi?koj upravi-15_22.pdf","Naziv ne odgovara PDF nazivu"
"137","Zakon o ra?unovodstvu i reviziji Republike Srpske","Zakon o fiskalnoj odgovornosti u Republici Srpskoj-94_15.pdf","Naziv ne odgovara PDF nazivu"
"139","Zakon o gasu","Zakon o gasu-22_18.pdf","Naziv ne odgovara PDF nazivu"
"140","Zakon o izmjeni Zakona o poljoprivredi","Zakon o gasu-86_07.pdf","Naziv ne odgovara PDF nazivu"
"141","Zakon o ombudsmanu za djecu","Zakon o geneti?ki modifikovanim organizmima-103_08.pdf","Naziv ne odgovara PDF nazivu"
"143","Zakon o izmjenama i dopunama Zakona o pred?kolskom vaspitanju i obrazovanju","Zakon o geolo?kim istra?ivanjima-64_22.pdf","Naziv ne odgovara PDF nazivu"
"144","Zakon o posebnom postupku eksproprijacije radi izgradnje auto-puta i gasovoda dionice Vukosavlje-Br?ko i Br?ko-Ra?a","Zakon o gradu Isto?no Sarajevo-18_20.pdf","Naziv ne odgovara PDF nazivu"
"145","Zakon o gradu Zvornik","Zakon o elektronskom dokumentu Republike Srpske-106_15.pdf","Naziv ne odgovara PDF nazivu"
"146","Zakon o izmjenama i dopunama Zakona o poljoprivrednom zemlji?tu","Zakon o gra?evinskim proizvodima-5_12.pdf","Naziv ne odgovara PDF nazivu"
"147","Zakon o gra?evinskom zemlji?tu Republike Srpske","Zakon o eksproprijaciji-112_06.pdf","Naziv ne odgovara PDF nazivu"
"150","Zakon o stranim ulaganjima","Zakon o hemikalijama-21_18.pdf","Naziv ne odgovara PDF nazivu"
"151","Zakon o hemikalijama","Zakon o hemikalijama-25_09.pdf","Naziv ne odgovara PDF nazivu"
"152","Zakon o ?eljeznicama Republike Srpske","Zakon o hrani-19_17.pdf","Naziv ne odgovara PDF nazivu"
"153","Zakon o hrani","Zakon o Komitetu za koordinaciju nadzora finansijskog sektora Republike Srpske-49_09.pdf","Naziv ne odgovara PDF nazivu"
"156","Zakon o imunitetu Republike Srpske","Zakon o dopunama Zakona o radu-39_24.pdf","Naziv ne odgovara PDF nazivu"
"157","Zakon o turizmu","Zakon o informacionoj b?zbj?dnosti-70_11.pdf","Naziv ne odgovara PDF nazivu"
"158","Zakon o socijalnoj karti","Zakon o inovacionoj djelatnosti-62_25.pdf","Naziv ne odgovara PDF nazivu"
"159","Zakon o inspekcijama Republike Srpske","Zakon o gradu Isto?no Sarajevo-18_20.pdf","Naziv ne odgovara PDF nazivu"
"160","Zakon o insp?kcijama u R?publici Srpskoj","Zakon o J?dinstv?nom r?gistru finansijskih izvj??taja R?publik? Srpsk?-74_10.pdf","Naziv ne odgovara PDF nazivu"
"161","Zakon o poreskom savjetovanju","Zakon o internoj reviziji u javnom sektoru Republike Srpske-17_08.pdf","Naziv ne odgovara PDF nazivu"
"162","Zakon o vjestacima Republike Srpske","Zakon o interventnim nabavkama-74_17.pdf","Naziv ne odgovara PDF nazivu"
"164","Zakon o izmj?nama Zakona o z?mlji?nim knjigama","Zakon o izdava?koj dj?latnosti-46_04.pdf","Naziv ne odgovara PDF nazivu"
"165","Zakon o studentskom standardu","Zakon o izmjenam i dopunama Zakona o studentskom organizovanju-63_21.pdf","Naziv ne odgovara PDF nazivu"
"166","Zakon o izmjenama Uredbe sa zakonskom snagom o ?ompenzacionom fondu Republike Srpske","Zakon o Gradu Lakta?i-37_22.pdf","Naziv ne odgovara PDF nazivu"
"167","Zakon o prevozu opasnih materija","Zakon o izmjenama Zakona o bud?etskom sistemu Republike Srpske-15_16.pdf","Naziv ne odgovara PDF nazivu"
"168","Zakon o izvr?enju Bud?eta Republike Srpske za 2020. godinu","Zakon o izmjenama Zakona o doprinosima-112_19.pdf","Naziv ne odgovara PDF nazivu"
"169","Zakon o pred?kolskom obrazovanju i vaspitanju","Zakon o izmjenama Zakona o eksproprijaciji-79_15.pdf","Naziv ne odgovara PDF nazivu"
"170","Zakon o metrologiji","Zakon o izmjenama Zakona o elektronskom poslovanju Republike Srpske-33_16.pdf","Naziv ne odgovara PDF nazivu"
"171","Zakon o javnom redu i miru","Zakon o izmjenama Zakona o imovini i potra?ivanjima kojima upravlja Fond za upravljanje nekretninama i potra?ivanjima Republike Srpske-11_15.pdf","Naziv ne odgovara PDF nazivu"
"174","Zakon o izmjeni Zakona o privatizaciji dr?avnih stanova","Zakon o izmjenama Zakona o izvr?enju Bud?eta Republike Srpske za 2018. godinu-45_18.pdf","Naziv ne odgovara PDF nazivu"
"177","Zakon o za?titi od uznemiravanja na radu","Zakon o izmjenama Zakona o izvr?enju Bud?eta Republike Srpske za 2021. godinu-90_21.pdf","Naziv ne odgovara PDF nazivu"
"179","Zakon o izmjeni i dopuni Zakona o dr?avnim stanovima na kojima ne postoji stanarsko pravo","Zakon o izmjenama Zakona o izvr?enju Bud?eta Republike Srpske za 2025. godinu-61_25.pdf","Naziv ne odgovara PDF nazivu"
"181","Zakon o izmjenama i dopuni Zakona o platama zaposlenih u osnovnim i srednjim ?kolama i ?a?kim domovima u Republici Srpskoj","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"183","Zakon o za?titi od nejonizuju?ih zra?enja","Zakon o izmjenama Zakona o lokalnoj samoupravi-36_19.pdf","Naziv ne odgovara PDF nazivu"
"184","Zakon o posebnom postupku eksproprijacije radi izgradnje auto-puta Banja Luka-Prijedor","Zakon o izmjenama Zakona o lokalnoj samoupravi-61_21.pdf","Naziv ne odgovara PDF nazivu"
"185","Zakon o izmjenama Zakona o naknadama za kori??enje prir?dnih resursa u svrhu proizvodnje elektri?ne energije","Zakon o izmjenama Zakona o bud?etskom sistemu Republike Srpske-15_16.pdf","Naziv ne odgovara PDF nazivu"
"186","Zakon o poreskom postupku Republike Srpske","Zakon o izmjenama Zakona o obaveznim osiguranjima u saobra?aju-78_20.pdf","Naziv ne odgovara PDF nazivu"
"187","Zakon o izmjenama Zakona o obnovljivim izvorima energije i efikasnoj kogeneraciji","Zakon o Gradu Gradi?ka-26_19.pdf","Naziv ne odgovara PDF nazivu"
"188","Zakon o izmjenama i dopunama Zakona o za?titi potro?a?a","Zakon o izmjenama Zakona o oru?ju i municiji-18_17.pdf","Naziv ne odgovara PDF nazivu"
"189","Zakon o rokovima izmirenja nov?anih obaveza u poslovnim transakcijama","Zakon o izmjenama Zakona o oru?ju i municiji-31_18.pdf","Naziv ne odgovara PDF nazivu"
"191","Zakon o izmjenama Zakona o platama zaposlenih lica u javnim ustanovama u oblasti zdravstva Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"192","Zakon o izmjenama Zakona o platama zaposlenih lica u javnim ustanovama u oblasti zdravstva Republike Srpske","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"193","Zakon o izmjenama Zakona o platama zaposlenih u Ministarstvu unutra?njih poslova Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"194","Zakon o izmjenama Zakona o platama zaposlenih u Ministarstvu unutra?njih poslova Republike Srpske","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"195","Zakon o izmjenama Zakona o platama zaposlenih u Ministarstvu unutra?njih poslova Republike Srpske","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"197","Zakon o izmjenama Zakona o platama zaposlenih u institucijama pravosu?a Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"198","Zakon o izmjenama Zakona o platama zaposlenih u institucijama pravosu?a Republike Srpske","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"200","Zakon o izmjenama Zakona o platama zaposlenih u institucijama pravosu?a Republike Srpske","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"202","Zakon o izmjenama Zakona o platama zaposlenih u javnim slu?bama Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"203","Zakon o izmjenama Zakona o platama zaposlenih u oblasti kulture Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"204","Zakon o izmjeni Zakona o sprovo?enju odluka Komisije za za?titu nacionalnih spomenika ustanovljene u skladu sa Aneksom 8. Op?teg okvirnog sporazuma za mir u Bosni i Hercegovini","Zakon o izmjenama Zakona o platama zaposlenih u oblasti prosvjete i kulture Republike Srpske-64_08.pdf","Naziv ne odgovara PDF nazivu"
"206","Zakon o izmjenama Zakona o platama zaposlenih u oblasti visokog obrazovanja i studentskog standarda Republike Srpske","Zakon o dopunama Zakona o doprinosima-112_23.pdf","Naziv ne odgovara PDF nazivu"
"207","Zakon o izmjenama Zakona o platama zaposlenih u oblasti visokog obrazovanja i studentskog standarda Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"208","Zakon o izmjenama Zakona o platama zaposlenih u oblasti visokog obrazovanja i studentskog standarda Republike Srpske","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"210","Zakon o izmjenama Zakona o platama zaposlenih u oblasti visokog obrazovanja i studentskog standarda Republike Srpske","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"212","Zakon o izmjenama Zakona o platama zaposlenih u organima uprave Republike Srpske","Zakon o izmjenama Zakona o komunalnim taksama-119_21.pdf","Naziv ne odgovara PDF nazivu"
"213","Zakon o izmjenama Zakona o platama zaposlenih u organima uprave Republike Srpske","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"217","Zakon o izmjenama Zakona o platama zaposlenih u osnovnim i srednjim ?kolama i ?a?kim domovima u Republici Srpskoj","Zakon o dopunama Zakona o doprinosima-112_23.pdf","Naziv ne odgovara PDF nazivu"
"218","Zakon o izmjenama Zakona o platama zaposlenih u osnovnim i srednjim ?kolama i ?a?kim domovima u Republici Srpskoj","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"220","Zakon o izmjenama Zakona o platama zaposlenih u osnovnim i srednjim ?kolama i ?a?kim domovima u Republici Srpskoj","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"222","Zakon o posebnom doprinosu za solidarnost","Zakon o izmjenama Zakona o porezima na upotrebu, dr?anje i no?enje dobara-110_15.pdf","Naziv ne odgovara PDF nazivu"
"223","Zakon o izmjenama Zakona o porezima na upotrebu, dr?anje i no?enje dobara","Zakon o izmjenama Zakona o krivi?nom postupku Republike Srpske-66_18.pdf","Naziv ne odgovara PDF nazivu"
"224","Zakon o izvr?enju Bud?eta Republike Srpske za 2014. godinu","Zakon o izmjenama Zakona o porezu na dohodak-107_13.pdf","Naziv ne odgovara PDF nazivu"
"225","Zakon o izmjenama Zakona o porezu na dohodak","Zakon o dopuni Zakona o doprinosima-49_21.pdf","Naziv ne odgovara PDF nazivu"
"226","Zakon o izmjenama Zakona o prenosu prava svojine na kapitalu Republike Srpske u lokalnim radio-televizijskim stanicama na jedinice lokalne samouprave","Zakon o Gradu Bijeljina-70_12.pdf","Naziv ne odgovara PDF nazivu"
"227","Zakon o izmjenama Zakona o privatizaciji poslovnih zgrada, poslovnih prostorija i gara?a","Zakon o amnestiji za nedopu?teno dr?anje minsko-eksplozivnih sredstava i oru?ja u Republici Srpskoj-67_13.pdf","Naziv ne odgovara PDF nazivu"
"228","Zakon o izmjenama Zakona o privrednim dru?tvima","Zakon o dopuni Zakona o policiji i unutra?njim poslovima-82_19.pdf","Naziv ne odgovara PDF nazivu"
"229","Zakon o izmjenama Zakona o republi?koj upravi","Zakon o Nacionalnom parku ?Kozara?-121_12.pdf","Naziv ne odgovara PDF nazivu"
"230","Zakon o izmjenama Zakona o republi?koj upravi","Zakon o Agenciji za informaciono-komunikacione tehnologije-90_23.pdf","Naziv ne odgovara PDF nazivu"
