"law_id","title","url","status","error"
"8643","Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine","https://wapi.gov.me/download/2d735b6d-0108-4208-884c-8d15ef283b1a?version=1.0","200",""
"8710","Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine","https://wapi.gov.me/download/2757623d-536c-49dd-b5e4-62e154f5d315?version=1.0","200",""
"8866","Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine","https://wapi.gov.me/download/6a29403c-2397-4107-a591-7aac91c38ecf?version=1.0","200",""
"8876","Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18","https://wapi.gov.me/download/b91275d4-db3c-47a1-ab10-8593a2ec3117?version=1.0","200",""
"8881","Zakon o turizmu i ugostiteljstvu","https://wapi.gov.me/download/b07f6ca2-39e9-4956-89e7-e75deb6a85cb?version=1.0","200",""
"8882","Zakon o porezu na dodatu vrijednost iz 2020.godine","https://wapi.gov.me/download/ffa76fb1-b995-4283-8b6b-d5848a7cfc36?version=1.0","200",""
"8884","Zakon o fiskalizaciji u prometu proizvoda i usluga","https://wapi.gov.me/download/4bc72201-52a7-45a3-b636-c69bc0778210?version=1.0","200",""
"8921","Zakon o nadzoru proizvoda na trzistu Sl.list CG br. 43-18","https://wapi.gov.me/download/8b64952a-0efa-4bb3-85a6-e46cc37c9440?version=1.0","200",""
"8923","Zakon o vojno-obavjestajnim i bezbjednosnim poslovima","https://wapi.gov.me/download/c425722d-2a65-46e5-8ea8-b2a9cc49e1e5?version=1.0","200",""
"8924","Zakon o tajnosti podataka","https://wapi.gov.me/download/c1ac4c4d-e914-47f7-8f61-49d1bf85560e?version=1.0","200",""
"8925","Zakon o privrednim drustvima","https://wapi.gov.me/download/6a24bb15-b69a-4f2f-8dd7-e4e743e98f49?version=1.0","200",""
"8926","Zakon o privrednim drustvima","https://wapi.gov.me/download/6a24bb15-b69a-4f2f-8dd7-e4e743e98f49?version=1.0","200",""
"8927","Zakon o privrednim drustvima iz 2020. godine","https://wapi.gov.me/download/6a24bb15-b69a-4f2f-8dd7-e4e743e98f49?version=1.0","200",""
"9005","Zakon o zastiti prirodnog i kulturno-istorijskog podrucja Kotora","https://wapi.gov.me/download/66f5c852-7448-4d3a-af81-2da69a240818?version=1.0","200",""
"9006","Zakon o spomen - obiljezjima","https://wapi.gov.me/download/0f71d50b-3ed6-435d-b753-8429f192df71?version=1.0","200",""
"9007","Zakon o biblioteckoj djelatnosti","https://wapi.gov.me/download/a1acb25d-8140-4405-bd0d-8fd51ec58131?version=1.0","200",""
"9008","Zakon o arhivskoj djelatnosti","https://wapi.gov.me/download/e1d2f00f-a955-42d7-9a03-6953c951d0a7?version=1.0","200",""
"9014","Zakon o porezu na kafu iz 2025. godine","https://wapi.gov.me/download/55b101ff-ce7f-4fae-a2f9-567b8a973490?version=1.0","200",""
"9017","Zakon o za?titi prirodnog i kulturno-istorijskog podru?ja Kotora","https://wapi.gov.me/download/66f5c852-7448-4d3a-af81-2da69a240818?version=1.0","200",""
"9018","Zakon o za?titi kulturnih dobara","https://wapi.gov.me/download/62633794-e279-4b80-a8a4-4043c3fa2a0e?version=1.0","200",""
